"esr_region","year2","meansst","anomaly"
"Western Aleutians",1986,5.72747897464766,0.164261229996923
"Western Aleutians",1987,5.49773312869268,-0.0654846159580602
"Western Aleutians",1988,4.95848844322441,-0.604729301426326
"Western Aleutians",1989,5.40062290323109,-0.16259484141965
"Western Aleutians",1990,5.51589997614757,-0.0473177685031665
"Western Aleutians",1991,5.70509770749641,0.141879962845668
"Western Aleutians",1992,5.30245409174743,-0.260763652903313
"Western Aleutians",1993,5.47109657961973,-0.0921211650310063
"Western Aleutians",1994,5.57268907356635,0.00947132891561164
"Western Aleutians",1995,5.54769897005461,-0.0155187745961332
"Western Aleutians",1996,5.93352490231374,0.370307157663002
"Western Aleutians",1997,5.80798107900794,0.244763334357207
"Western Aleutians",1998,5.33212502099298,-0.231092723657761
"Western Aleutians",1999,4.74940031389716,-0.813817430753577
"Western Aleutians",2000,4.796243375531,-0.766974369119742
"Western Aleutians",2001,4.58306894741967,-0.980148797231073
"Western Aleutians",2002,5.01464412839126,-0.548573616259478
"Western Aleutians",2003,5.53438598767253,-0.0288317569782039
"Western Aleutians",2004,5.7534356493125,0.190217904661758
"Western Aleutians",2005,5.59169806210441,0.0284803174536687
"Western Aleutians",2006,5.59988331786547,0.0366655732147274
"Western Aleutians",2007,5.59839029424377,0.0351725495930344
"Western Aleutians",2008,5.65948003509415,0.0962622904434083
"Western Aleutians",2009,5.58711609782417,0.0238983531734354
"Western Aleutians",2010,5.22889178216039,-0.334325962490349
"Western Aleutians",2011,5.79492052503874,0.231702780387998
"Western Aleutians",2012,5.39285950039908,-0.170358244251658
"Western Aleutians",2013,5.87425665500795,0.311038910357213
"Western Aleutians",2014,6.04956544884595,0.486347704195215
"Western Aleutians",2015,5.86881671929782,0.305598974647078
"Western Aleutians",2016,6.16261600759091,0.599398262940171
"Western Aleutians",2017,6.0428116907744,0.479593946123663
"Western Aleutians",2018,6.06365125497271,0.500433510321971
"Western Aleutians",2019,6.08086948354323,0.517651738892496
"Western Aleutians",2020,5.85774481330509,0.294527068654356
"Western Aleutians",2021,5.61819786639164,0.0549801217408978
"Central Aleutians",1986,5.99126402001538,0.188013966865004
"Central Aleutians",1987,5.97195141696405,0.168701363813677
"Central Aleutians",1988,5.56735750610849,-0.235892547041883
"Central Aleutians",1989,5.61793497587188,-0.18531507727849
"Central Aleutians",1990,5.71934357687425,-0.0839064762761241
"Central Aleutians",1991,5.95728696823236,0.154036915081985
"Central Aleutians",1992,5.55915796759329,-0.244092085557082
"Central Aleutians",1993,5.73670428036117,-0.0665457727892038
"Central Aleutians",1994,5.76654828796573,-0.0367017651846382
"Central Aleutians",1995,5.75802280229687,-0.0452272508534977
"Central Aleutians",1996,6.13081145623436,0.327561403083986
"Central Aleutians",1997,6.09156309315669,0.288313040006318
"Central Aleutians",1998,5.49143028001841,-0.311819773131965
"Central Aleutians",1999,5.06725087048564,-0.735999182664727
"Central Aleutians",2000,5.12752779345417,-0.675722259696197
"Central Aleutians",2001,5.33863825835231,-0.46461179479806
"Central Aleutians",2002,5.39764334617608,-0.405606706974295
"Central Aleutians",2003,5.93662099645954,0.133370943309166
"Central Aleutians",2004,5.93873135033114,0.135481297180773
"Central Aleutians",2005,5.87481917496619,0.0715691218158181
"Central Aleutians",2006,5.89629224833626,0.0930421951858929
"Central Aleutians",2007,5.68451831810356,-0.118731735046816
"Central Aleutians",2008,5.65088097757651,-0.152369075573858
"Central Aleutians",2009,5.60116506034214,-0.202084992808227
"Central Aleutians",2010,5.49079450914794,-0.312455544002434
"Central Aleutians",2011,5.78997100521854,-0.0132790479318272
"Central Aleutians",2012,5.42848378125887,-0.374766271891499
"Central Aleutians",2013,5.73045384269584,-0.0727962104545279
"Central Aleutians",2014,6.11794776364134,0.314697710490973
"Central Aleutians",2015,6.1570168883525,0.353766835202126
"Central Aleutians",2016,6.25335013726763,0.450100084117254
"Central Aleutians",2017,6.20091679019843,0.397666737048054
"Central Aleutians",2018,6.22725808973099,0.424008036580615
"Central Aleutians",2019,6.49910358161665,0.695853528466279
"Central Aleutians",2020,6.29463391131106,0.49138385816069
"Central Aleutians",2021,5.8536065866971,0.0503565335467311
"Eastern Aleutians",1986,6.60012698115023,0.183870237478015
"Eastern Aleutians",1987,6.75925967970365,0.343002936031433
"Eastern Aleutians",1988,6.25504709586815,-0.161209647804067
"Eastern Aleutians",1989,6.20944776826433,-0.206808975407879
"Eastern Aleutians",1990,6.19643968352742,-0.219817060144788
"Eastern Aleutians",1991,6.403906945762,-0.0123497979102147
"Eastern Aleutians",1992,6.30836544304849,-0.107891300623723
"Eastern Aleutians",1993,6.44395779472635,0.0277010510541382
"Eastern Aleutians",1994,6.52203287719943,0.105776133527222
"Eastern Aleutians",1995,6.25438387095596,-0.161872872716256
"Eastern Aleutians",1996,6.60543882224868,0.189182078576469
"Eastern Aleutians",1997,6.65016659502154,0.233909851349324
"Eastern Aleutians",1998,6.17857679160522,-0.237679952066992
"Eastern Aleutians",1999,5.74079385808419,-0.675462885588024
"Eastern Aleutians",2000,5.7312498621614,-0.685006881510816
"Eastern Aleutians",2001,6.29083562009165,-0.125421123580564
"Eastern Aleutians",2002,6.07246145715236,-0.343795286519857
"Eastern Aleutians",2003,6.63522984447933,0.218973100807115
"Eastern Aleutians",2004,6.71885043333542,0.30259368966321
"Eastern Aleutians",2005,6.68867643638339,0.272419692711174
"Eastern Aleutians",2006,6.39398094929595,-0.022275794376263
"Eastern Aleutians",2007,6.01804277762285,-0.398213966049362
"Eastern Aleutians",2008,5.86945197800217,-0.546804765670039
