"esr_region","year2","meansst","anomaly"
"Western Aleutians",1986,5.73290410958904,0.175326259928744
"Western Aleutians",1987,5.50197260273973,-0.0556052469205719
"Western Aleutians",1988,4.96166666666667,-0.595911182993631
"Western Aleutians",1989,5.4047397260274,-0.1528381236329
"Western Aleutians",1990,5.51846575342466,-0.0391120962356402
"Western Aleutians",1991,5.70849315068493,0.150915301024634
"Western Aleutians",1992,5.30527322404372,-0.252304625616582
"Western Aleutians",1993,5.47358904109589,-0.0839888085644072
"Western Aleutians",1994,5.57591780821918,0.0183399585588804
"Western Aleutians",1995,5.54991780821918,-0.00766004144111943
"Western Aleutians",1996,5.93601092896175,0.378433079301451
"Western Aleutians",1997,5.81071232876712,0.253134479106826
"Western Aleutians",1998,5.33575342465753,-0.221824425002763
"Western Aleutians",1999,4.75213698630137,-0.805440863358928
"Western Aleutians",2000,4.79967213114754,-0.757905718512757
"Western Aleutians",2001,4.58649315068493,-0.971084698975367
"Western Aleutians",2002,5.01931506849315,-0.538262781167147
"Western Aleutians",2003,5.53821917808219,-0.0193586715781064
"Western Aleutians",2004,5.75521857923497,0.197640729574675
"Western Aleutians",2005,5.59449315068493,0.0369153010246333
"Western Aleutians",2006,5.60361643835616,0.0460385886958665
"Western Aleutians",2007,5.60167123287671,0.0440933832164143
"Western Aleutians",2008,5.66215846994536,0.104580620285057
"Western Aleutians",2009,5.59013698630137,0.0325591366410718
"Western Aleutians",2010,5.23161643835616,-0.325961411304133
"Western Aleutians",2011,5.79780821917808,0.240230369517785
"Western Aleutians",2012,5.39603825136612,-0.161539598294178
"Western Aleutians",2013,5.87687671232877,0.319298862668469
"Western Aleutians",2014,6.05224657534247,0.494668725682168
"Western Aleutians",2015,5.87186301369863,0.314285164038332
"Western Aleutians",2016,6.16606557377049,0.608487724110194
"Western Aleutians",2017,6.04441095890411,0.486833109243812
"Western Aleutians",2018,6.06531506849315,0.507737218832853
"Western Aleutians",2019,6.08232876712329,0.52475091746299
"Western Aleutians",2020,5.84173553719008,0.284157687529785
"Western Aleutians",2021,5.32794952681388,-0.229628322846418
"Central Aleutians",1986,5.79923287671233,0.139635362147991
"Central Aleutians",1987,5.73065753424658,0.0710600196822382
"Central Aleutians",1988,5.44901639344262,-0.210581121121715
